,date,btc_price,eth_price,ltc_price,doge_price,dash_price,xmr_price,xrp_price
252,2018-07-22,7455.0,463.305,83.058,0.00352,254.505,131.059,0.454
253,2018-07-21,7353.0,459.661,82.725,0.00345,246.244,129.973,0.449
254,2018-07-20,7430.0,458.668,84.017,0.00362,265.438,135.561,0.461
255,2018-07-19,7399.0,473.914,86.655,0.00369,263.678,141.022,0.487
256,2018-07-18,7413.0,495.013,90.194,0.00353,264.401,144.647,0.51
257,2018-07-17,6889.0,481.164,84.728,0.00299,251.731,139.529,0.471
258,2018-07-16,6537.0,464.55,81.048,0.00253,238.07,128.29,0.466
259,2018-07-15,6342.0,443.555,77.515,0.00238,227.439,123.757,0.446
260,2018-07-14,6253.0,434.064,76.42,0.00234,220.667,122.164,0.437
261,2018-07-13,6256.0,436.091,77.251,0.00233,224.274,122.95,0.442
262,2018-07-12,6252.0,434.059,76.412,0.00233,212.328,122.58,0.433
263,2018-07-11,6400.0,439.544,77.853,0.00244,220.128,125.03,0.451
264,2018-07-10,6516.0,449.73,77.513,0.0025,225.369,127.946,0.449
265,2018-07-09,6739.0,481.71,82.178,0.00263,239.155,138.68,0.479
266,2018-07-08,6759.0,487.68,84.343,0.00265,245.807,136.673,0.494
267,2018-07-07,6611.0,469.681,82.101,0.00261,242.252,133.268,0.472
268,2018-07-06,6569.0,467.227,83.092,0.0026,240.005,135.165,0.477
269,2018-07-05,6602.0,470.334,84.547,0.00264,246.866,138.689,0.489
270,2018-07-04,6592.0,467.609,85.75,0.00266,244.274,141.09,0.486
271,2018-07-03,6614.0,472.836,86.948,0.00269,253.65,140.891,0.495
272,2018-07-02,6479.0,461.591,82.348,0.0026,245.44,134.842,0.458
273,2018-07-01,6388.0,453.007,80.134,0.00253,236.202,130.416,0.46
274,2018-06-30,6382.0,449.963,81.494,0.0025,241.028,130.63,0.469
275,2018-06-29,5935.0,417.151,74.621,0.0023,223.517,120.079,0.43
276,2018-06-28,6120.0,435.865,79.241,0.00242,224.742,130.581,0.46
277,2018-06-27,6128.0,434.665,78.544,0.00243,229.535,127.027,0.463
278,2018-06-26,6233.0,450.846,80.632,0.00251,237.581,126.593,0.477
279,2018-06-25,6225.0,457.744,81.487,0.00251,241.725,126.762,0.491
280,2018-06-24,6044.0,451.302,79.386,0.00251,237.172,115.369,0.468
281,2018-06-23,6146.0,471.371,83.932,0.00262,244.794,114.608,0.491
282,2018-06-22,6382.0,490.26,89.241,0.00277,247.041,116.098,0.51
283,2018-06-21,6755.0,533.614,97.401,0.00299,265.473,122.986,0.538
284,2018-06-20,6698.0,529.553,97.247,0.00298,259.198,122.648,0.53
285,2018-06-19,6737.0,527.798,98.562,0.00301,264.987,127.173,0.548
286,2018-06-18,6543.0,502.428,95.87,0.00291,259.32,123.832,0.514
287,2018-06-17,6534.0,501.699,96.74,0.00289,267.341,125.212,0.535
288,2018-06-16,6482.0,496.537,96.159,0.00287,261.132,125.946,0.533
289,2018-06-15,6567.0,501.792,98.22,0.00291,262.633,127.941,0.548
290,2018-06-14,6515.0,492.603,97.344,0.00287,260.473,129.078,0.556
291,2018-06-13,6459.0,481.022,95.995,0.00293,253.101,121.173,0.539
292,2018-06-12,6775.0,521.061,105.047,0.00316,270.429,132.354,0.593
293,2018-06-11,6767.0,525.832,106.306,0.00313,269.425,136.499,0.584
294,2018-06-10,7150.0,558.971,111.665,0.00335,285.011,144.129,0.625
295,2018-06-09,7653.0,604.065,119.971,0.00365,305.332,158.627,0.672
296,2018-06-08,7650.0,601.928,120.072,0.00368,311.291,161.013,0.665
297,2018-06-07,7708.0,608.398,121.796,0.00377,315.499,167.096,0.682
298,2018-06-06,7619.0,605.064,121.139,0.0037,314.837,165.349,0.672
299,2018-06-05,7513.0,595.268,119.246,0.00359,314.713,163.211,0.665
300,2018-06-04,7594.0,602.107,121.85,0.00357,321.357,163.535,0.653
301,2018-06-03,7706.0,611.15,125.286,0.00364,330.622,170.377,0.661
302,2018-06-02,7615.0,588.746,122.206,0.00352,320.606,162.442,0.643
303,2018-06-01,7501.0,576.459,118.927,0.00342,307.362,155.929,0.621
304,2018-05-31,7517.0,572.5,119.047,0.00343,308.477,156.884,0.615
305,2018-05-30,7454.0,562.269,119.423,0.00343,310.135,157.214,0.619
306,2018-05-29,7311.0,542.952,116.666,0.0033,301.681,155.601,0.6
307,2018-05-28,7274.0,538.415,114.767,0.00331,304.991,159.227,0.576
308,2018-05-27,7346.0,575.72,118.001,0.00341,318.477,164.229,0.61
309,2018-05-26,7517.0,596.332,120.61,0.00352,335.008,166.213,0.621
310,2018-05-25,7507.0,594.803,120.544,0.00353,339.454,167.811,0.619
311,2018-05-24,7551.0,587.165,120.784,0.00347,340.958,170.016,0.616
312,2018-05-23,7816.0,614.983,124.09,0.00363,347.414,174.563,0.618
313,2018-05-22,8261.0,681.455,132.826,0.00408,374.373,188.184,0.671
314,2018-05-21,8476.0,707.172,136.866,0.00432,395.17,199.565,0.689
315,2018-05-20,8378.0,711.294,137.263,0.00431,393.958,200.476,0.685
316,2018-05-19,8266.0,697.014,135.475,0.00426,393.371,199.735,0.673
317,2018-05-18,8115.0,678.857,132.981,0.00417,386.267,192.518,0.672
318,2018-05-17,8297.0,699.933,137.853,0.00435,407.112,200.099,0.696
319,2018-05-16,8291.0,695.097,137.663,0.00438,408.006,197.212,0.706
320,2018-05-15,8652.0,723.705,144.088,0.00456,434.138,210.995,0.748
321,2018-05-14,8595.0,718.634,142.582,0.00443,414.581,206.38,0.736
322,2018-05-13,8566.0,703.788,141.901,0.00439,406.996,207.333,0.7
323,2018-05-12,8438.0,671.294,138.632,0.00427,394.944,198.44,0.696
324,2018-05-11,8725.0,698.979,142.056,0.00448,404.14,206.162,0.686
325,2018-05-10,9288.0,754.168,156.629,0.00501,447.201,227.34,0.8
326,2018-05-09,9210.0,739.982,156.519,0.00504,436.21,224.033,0.803
327,2018-05-08,9282.0,749.138,162.172,0.00514,452.476,227.037,0.815
328,2018-05-07,9367.0,743.309,164.107,0.00485,461.994,227.909,0.825
329,2018-05-06,9658.0,792.784,172.636,0.005,494.284,236.715,0.873
330,2018-05-05,9844.0,809.529,174.63,0.00525,496.974,243.361,0.902
331,2018-05-04,9670.0,783.083,162.112,0.00536,490.212,242.477,0.905
332,2018-05-03,9387.0,734.123,156.039,0.00547,493.527,247.593,0.854
333,2018-05-02,9128.0,678.864,148.787,0.00528,475.46,245.145,0.858
334,2018-05-01,9004.0,658.012,145.549,0.00509,467.734,234.883,0.833
335,2018-04-30,9304.0,682.708,151.007,0.00535,484.462,246.334,0.852
336,2018-04-29,9365.0,684.336,152.341,0.00545,493.172,253.073,0.847
337,2018-04-28,9249.0,676.536,150.224,0.00553,490.711,256.206,0.84
338,2018-04-27,9228.0,665.522,150.635,0.00563,490.087,260.784,0.855
339,2018-04-26,8894.0,631.231,146.68,0.00525,475.286,262.062,0.806
340,2018-04-25,9231.0,644.087,151.371,0.00533,484.791,267.968,0.818
341,2018-04-24,9325.0,689.517,161.895,0.00576,533.258,292.329,0.918
342,2018-04-23,8925.0,639.477,150.831,0.00561,487.032,280.298,0.876
343,2018-04-22,8913.0,622.605,149.074,0.00562,461.331,266.886,0.906
344,2018-04-21,8820.0,604.706,149.595,0.00553,445.741,256.88,0.824
345,2018-04-20,8464.0,584.742,149.524,0.00582,441.953,250.355,0.875
346,2018-04-19,8242.0,543.621,142.462,0.00564,422.097,233.32,0.72
347,2018-04-18,8085.0,514.947,137.236,0.00503,390.282,220.681,0.682
348,2018-04-17,8075.0,512.062,134.848,0.00475,370.798,198.154,0.67
349,2018-04-16,8104.0,512.054,128.234,0.0046,365.637,194.686,0.657
350,2018-04-15,8241.0,520.189,130.151,0.0044,375.093,198.37,0.675
351,2018-04-14,8025.0,501.885,127.004,0.00413,362.359,192.598,0.637
352,2018-04-13,8008.0,504.831,128.967,0.00402,366.689,193.979,0.638
