,date,open,high,low,close,volume,marketcap
827,2016-12-23,3.72,4.66,3.71,4.66,15539100,228149363
828,2016-12-22,3.67,3.75,3.66,3.71,3657740,181850994
829,2016-12-21,3.66,3.69,3.65,3.65,2913250,178946727
830,2016-12-20,3.66,3.66,3.64,3.66,2335510,179271873
831,2016-12-19,3.68,3.68,3.65,3.66,2274070,179294513
832,2016-12-18,3.7,3.71,3.66,3.68,1951490,179940572
833,2016-12-17,3.63,3.71,3.61,3.7,2559210,180891699
834,2016-12-16,3.63,3.65,3.61,3.63,1625780,177452394
835,2016-12-15,3.61,3.65,3.6,3.62,2679340,177217751
836,2016-12-14,3.66,3.66,3.59,3.62,2618560,176928995
837,2016-12-13,3.67,3.7,3.65,3.65,1962750,178377518
838,2016-12-12,3.64,3.67,3.62,3.66,2465660,178912649
839,2016-12-11,3.69,3.69,3.63,3.64,1948170,177672525
840,2016-12-10,3.69,3.7,3.64,3.68,2093810,179687726
841,2016-12-09,3.69,3.71,3.68,3.69,1758140,180183369
842,2016-12-08,3.6,3.73,3.6,3.69,2683090,180109547
843,2016-12-07,3.54,3.63,3.51,3.62,2537240,176388678
844,2016-12-06,3.49,3.56,3.49,3.54,3007340,172406582
845,2016-12-05,3.88,3.92,3.33,3.53,11106200,172020407
846,2016-12-04,3.93,3.95,3.9,3.9,1908090,190052287
847,2016-12-03,3.95,3.95,3.91,3.92,1805780,191186224
848,2016-12-02,3.92,3.96,3.92,3.95,2559070,192221835
849,2016-12-01,3.91,3.92,3.89,3.91,1985600,190346608
850,2016-11-30,3.89,3.92,3.88,3.89,1857280,189543678
851,2016-11-29,3.89,3.9,3.87,3.87,2436960,188550246
852,2016-11-28,3.9,3.91,3.88,3.88,1726410,188976866
853,2016-11-27,3.91,3.92,3.88,3.88,1631940,188840590
854,2016-11-26,3.92,3.93,3.88,3.89,1782340,189349048
855,2016-11-25,3.91,3.92,3.89,3.92,2211790,190305090
856,2016-11-24,3.93,3.95,3.89,3.91,2089790,189869691
857,2016-11-23,3.97,3.97,3.92,3.93,2184200,190661739
858,2016-11-22,3.95,3.97,3.91,3.95,2347880,191671917
859,2016-11-21,3.93,3.96,3.92,3.94,1999840,191493664
860,2016-11-20,3.97,3.97,3.9,3.92,2680300,190322156
861,2016-11-19,3.98,3.98,3.94,3.95,2048720,191811705
862,2016-11-18,3.96,4.0,3.94,3.96,2650960,192117402
863,2016-11-17,4.06,4.07,3.94,3.94,3120160,191181641
864,2016-11-16,3.9,4.03,3.9,4.02,4232760,194823409
865,2016-11-15,3.89,3.96,3.86,3.89,3032290,188664991
866,2016-11-14,3.88,3.89,3.86,3.88,2525810,187763726
867,2016-11-13,3.77,3.91,3.69,3.88,3344370,187793621
