Symbol,Week,Open,High,Low,Close,Volume
DASH,2017-06-30,131.90495816,197.74337743,128.62466196,173.75187661,1279554.28974000
DASH,2017-05-31,92.98609230,150.17785562,77.25793643,131.88095270,2379770.74352000
DASH,2017-04-30,72.75923873,102.94961452,47.28398877,93.33229369,2140570.73768000
DASH,2017-03-31,32.48724557,119.89554458,32.09991174,72.88226276,3280307.54758000
DASH,2017-02-28,15.69141136,33.34862825,15.24397648,32.45149685,1370188.76368000
DASH,2017-01-31,11.05771854,16.16635290,10.41398031,15.69089043,59614.06059720
DASH,2016-12-31,8.94542391,11.43970369,8.43000000,11.05771854,63321.01250110
DASH,2016-11-30,9.21571897,10.29742383,8.37758096,8.94542391,62219.49693060
DASH,2016-10-31,11.86611568,12.25490557,7.98044293,9.21571897,62746.57758010
DASH,2016-09-30,11.64332563,12.72873769,10.47368516,11.86611568,60428.13575880
DASH,2016-08-31,9.57309000,15.09461443,9.00582002,11.64332563,62873.13737580
DASH,2016-07-31,6.97194599,9.60000000,6.76765341,9.57309000,76343.25893650
DASH,2016-06-30,8.27540065,8.68910201,6.54501011,6.97194599,92040.00769750
DASH,2016-05-31,6.75152565,8.59341329,6.42434718,8.27540065,60624.85559400
DASH,2016-04-30,6.84322739,7.29593159,5.75399195,6.75152565,59466.47952810
DASH,2016-03-31,3.93788683,7.71787101,3.80000000,6.84322739,68543.29829830
DASH,2016-02-29,4.19810856,4.48575579,3.31681805,3.93788683,30375.47312560
DASH,2016-01-31,3.33841803,6.05626360,2.82749237,4.19810856,170309.86789900
DASH,2015-12-31,2.17639584,3.78002154,2.10526060,3.33841803,15830.80466660
DASH,2015-11-30,2.60609694,3.30661735,2.07949543,2.17639584,27624.94863140
DASH,2015-10-31,2.46322819,2.69235102,2.09182120,2.60609694,22302.74197780
DASH,2015-09-30,2.57803403,3.03945253,2.07454442,2.46322819,8560.96772829
DASH,2015-08-31,3.62896622,3.72787042,2.20991954,2.57803403,55927.21363900
DASH,2015-07-31,2.88466731,4.47724604,2.77391937,3.62896622,86558.70549520
DASH,2015-06-30,2.73144483,3.24414941,2.65016537,2.88466731,27737.32281960
DASH,2015-05-31,2.97584894,3.05406820,2.43427480,2.73144483,22397.01204760
DASH,2015-04-30,4.01223744,4.66790441,2.62177710,2.97584894,58195.17390240
DASH,2015-03-31,3.16269682,5.84584566,2.80992145,4.01223744,108647.31913300
DASH,2015-02-28,1.66169313,3.43297424,1.56300389,3.16269682,75947.39116510
DASH,2015-01-31,1.94207360,2.26983663,1.01535221,1.66169037,56575.54897890
DASH,2014-12-31,2.40353788,2.49333521,1.66689112,1.94207360,11171.45102600
DASH,2014-11-30,1.80107102,3.05273431,1.53524234,2.40353788,47126.22557970
DASH,2014-10-31,2.73003865,2.92164347,1.50089461,1.79846251,23738.79410430
DASH,2014-09-30,2.44186524,3.99246800,2.20150981,2.78488607,35600.13335270
DASH,2014-08-31,5.41384208,5.97392947,1.53999525,2.44186524,52337.92437890
DASH,2014-07-31,8.78500000,9.19000000,4.32858290,5.41384208,22722.06037230
XMR,2019-04-03,56.46139077,72.39470109,56.41568793,65.74257586,271107.61896900
XMR,2019-03-31,48.65512672,57.43502348,47.19705499,56.46192726,643026.69571400
XMR,2019-02-28,43.66753691,56.09376090,42.23082910,48.65815430,839150.53984100
XMR,2019-01-31,46.74308364,56.21092530,42.94856836,43.66753112,906294.31572900
XMR,2018-12-31,58.24495728,61.94136285,38.18013878,46.74219064,1478820.32809000
XMR,2018-11-30,104.97229466,114.11219570,52.52182053,58.06598114,1209057.19954000
XMR,2018-10-31,115.84967061,119.78960166,99.84045560,104.83699232,540901.15978400
XMR,2018-09-30,116.12739427,139.89371174,96.94744010,115.65618890,1291271.79562000
XMR,2018-08-31,122.51028098,130.19248095,79.23418443,116.28410560,813365.97882100
XMR,2018-07-31,130.89514953,149.06591324,117.49489688,122.67804961,816278.46699000
XMR,2018-06-30,155.59360252,176.27779062,107.41485212,130.92987159,969175.11282200
XMR,2018-05-31,241.39727507,257.50686166,147.93957244,155.48981379,937991.31409500
XMR,2018-04-30,178.57543897,298.25405360,161.36059284,241.00672729,1108396.37431000
XMR,2018-03-31,284.86226355,378.70719733,162.42753193,178.56161383,1799122.57519000
XMR,2018-02-28,273.75927150,329.23233998,149.88326712,284.42612640,1208992.22936000
XMR,2018-01-31,332.15001962,448.35916679,236.98042740,272.94982788,1932962.11915000
XMR,2017-12-31,174.56625680,471.99256233,166.46095275,332.13939096,3304981.40032000
XMR,2017-11-30,87.54703177,207.56803822,80.42782998,175.25785631,2824003.30614000
XMR,2017-10-31,96.02127316,102.79326938,82.22743725,87.56537032,869560.62473800
XMR,2017-09-30,141.44030404,151.04985022,72.68811192,96.20524138,2222738.63415000
XMR,2017-08-31,39.72251309,154.48575998,39.68444748,141.24890303,3096397.16265000
XMR,2017-07-31,43.25418732,50.61611921,28.66140427,39.75516469,1519877.47470000
XMR,2017-06-30,40.71418484,61.19624722,36.14369423,43.17075519,971764.08629700
XMR,2017-05-31,25.00858187,57.60499478,23.62210435,40.72269322,1340686.36664000
XMR,2017-04-30,20.20736935,26.03207324,18.55988339,24.95095128,631814.99968400
XMR,2017-03-31,12.31863675,25.80526238,12.16655909,20.04086536,897601.83784900
XMR,2017-02-28,12.97188942,13.80316862,11.59216976,12.31863675,208700.24740200
XMR,2017-01-31,13.45726979,18.57293313,9.91489085,12.97188942,219179.11175300
XMR,2016-12-31,8.78980000,14.49798545,6.55001000,13.45726979,41026.12541030
XMR,2016-11-30,5.26389000,9.26568000,2.00001000,8.78980000,1292.31221761
XRP,2019-04-03,0.31049091,0.37229770,0.30966076,0.34272057,838998869.61099994
XRP,2019-03-31,0.31440815,0.32535231,0.29453210,0.31059880,3574391820.55000019
XRP,2019-02-28,0.31063405,0.34508545,0.28882447,0.31446062,2662555118.82999992
XRP,2019-01-31,0.35701799,0.38241883,0.28576259,0.31010164,2476062408.01000023
XRP,2018-12-31,0.36553055,0.45078705,0.28222864,0.35651185,3485068324.44999981
